Fecha	Título	Link	Perma.cc
37235.0	"Derechos humanos, a la deriva, acusan"	"http://archivo.eluniversal.com.mx/notas/37737.html"	"https://perma.cc/2H5V-2KBD"
37236.0	"Estudia la Procuraduría perfil de 40 candidatos"	"http://archivo.eluniversal.com.mx/nacion/73679.html"	"https://perma.cc/AS4V-C9CE"
37236.0	"Falta de autonomía, un pecado original de fiscal"	"http://archivo.eluniversal.com.mx/nacion/73706.html"	"https://perma.cc/B8M4-BGW3"
37237.0	"PGR: fiscal para guerra sucia, antes de 2002"	"http://archivo.eluniversal.com.mx/nacion/73782.html"	"https://perma.cc/R33A-3RR4"
37240.0	"Admite VFQ: dejé de ser provocador"	"http://archivo.eluniversal.com.mx/nacion/74061.html"	"https://perma.cc/DZ7X-R2Z6"
37253.0	"Destapan la \"guerra sucia"	"http://archivo.eluniversal.com.mx/nacion/75244.html"	"https://perma.cc/L4NU-HWJL"
37259.0	"Cuestionan familiares de desaparecidos el informe de Derechos Humanos"	"http://archivo.eluniversal.com.mx/nacion/75695.html"	"https://perma.cc/66DJ-X2MY"
37261.0	"Está en juego la credibilidad"	"http://archivo.eluniversal.com.mx/editoriales/12194.html"	"https://perma.cc/3N9J-95M6"
37261.0	"Desencanto civil por el nombramiento "	"http://archivo.eluniversal.com.mx/nacion/75818.html"	"https://perma.cc/G3CD-DE8Y"
37261.0	"Macedo: el fiscal para la guerra sucia tendrá autonomía"	"http://archivo.eluniversal.com.mx/nacion/75817.html"	"https://perma.cc/MBU2-ZPZ6"
37261.0	"Designan al fiscal para guerra sucia"	"http://archivo.eluniversal.com.mx/primera/10587.html"	"https://perma.cc/65JC-JQA3"
37261.0	"Descarta golpes espectaculares y plazos perentorios"	"http://archivo.eluniversal.com.mx/primera/10590.html"	"https://perma.cc/KK76-EFSK"
37264.0	"(OPINION Jesus Vergara Aceves)"	""	""
37266.0	"(OPINION, Morales Lechuga, ex PGR)"	""	""
37266.0	"Piden indagar a Jiménez Ruiz por delitos de guerra"	"http://archivo.eluniversal.com.mx/nacion/76161.html"	"https://perma.cc/V292-3HF3"
37266.0	"Impedirán se dé carpetazo a desapariciones forzadas"	"http://archivo.eluniversal.com.mx/nacion/76162.html"	"https://perma.cc/3H7U-FRGL"
37268.0	"Acotada, fiscalía de guerra sucia, advierte jurista"	"http://archivo.eluniversal.com.mx/nacion/76304.html"	"https://perma.cc/7QCX-EA6J"
