Filename	Title	Source
"Trachtenberg_FR_19480803"	"Lettre de Chauvel à Bonnet, 5 Août 1948"	"n/a"
"Trachtenberg_FR_19480816"	"Lettre de Bonnet à Chauvel, 16 Août 1948"	"n/a"
"Trachtenberg_FR_19480910"	"Lettre du Général Koenig au Général Clay, Le Conseil Parlementaire (parts), 10 Septembre 1948"	"n/a"
"Trachtenberg_FR_19480917"	"Note Pour Le Ministre, Massigli, 17 Septembre 1948"	"n/a"
"Trachtenberg_FR_19480923"	"Lettre de Berard au Ministre Schuman, Aide militaire américaine à l'Europe Occidentale, 23 Septembre 1948"	"n/a"
"Trachtenberg_FR_19480924"	"Télégramme de Massigli à Paris, 24 Septembre 1948"	"n/a"
"Trachtenberg_FR_19481004"	"Conversation Schuman - Marshall, 9h30, 4 Octobre 1948"	"n/a"
"Trachtenberg_FR_19481005"	"Compte rendu de reunion: M. Schuman, le Général Marshall, M. Bevin, et al., tenue dans le bureau de M. Robert Schuman, 5 Octobre 1948 "	"n/a"
"Trachtenberg_FR_19490202"	"Lettre de Saint-Hardouin au Ministre Schuman, Entretien de M. de Noblet et de M. Gribanov, 2 Février 1949"	"n/a"
"Trachtenberg_FR_19490214"	"Lettre de Massigli à Chauvel, 14 Février 1949"	"n/a"
"Trachtenberg_FR_19490404"	"Télégramme de Massigli à Paris, Pour M. Parodi, 4 Avril 1949"	"n/a"
"Trachtenberg_FR_19491106"	"Note pour Monsieur le Président Robert Schuman Ministre des Affaires Etrangères, 6 Novembre 1949"	"n/a"
"Trachtenberg_FR_19491118"	"Note: Réarmement allemand, Direction d'Europe, 18 Novembre 1949"	"n/a"
"Trachtenberg_FR_19491128"	"Télégramme de Seydoux, 28 Novembre 1949"	"n/a"
"Trachtenberg_FR_19491129"	"Télégramme de Massigli à Paris, 29 Novembre 1949"	"n/a"
"Trachtenberg_FR_19491130"	"Lettre de Bonnet au Ministre Schuman, Réarmement de l'Allemagne, 30 Novembre 1949"	"n/a"
"Trachtenberg_FR_19491208"	"Télégramme de Francois-Poncet à Paris, 9 Décembre 1949"	"n/a"
"Trachtenberg_FR_19491213_1"	"Télégramme de Paris à Ambafrance Bonn, Londres, et Washington, 13 Décembre 1949"	"n/a"
"Trachtenberg_FR_19491213_2"	"Télégramme de Francois-Poncet à Paris, 13 Décembre 1949"	"n/a"
"Trachtenberg_FR_19491213_3"	"Unterredung zwischen Präsident Auriol und Hohem Kommissar François-Poucet, Wortprotokoll (Auszug), 28. Dezember 1949"	"n/a"
"Trachtenberg_FR_19500407"	"Note: L'integration de l'Allemagne dans l'Europe Occidentale, Seydoux, 7 Avril 1950"	"n/a"
"Trachtenberg_FR_19500412"	"Note: Avenir de la République Fédérale Allemande, Massigli, 12 Avril 1950"	"n/a"
"Trachtenberg_FR_19500418"	"Note: Intégration de l'Allemagne dans l'Europe. Renforcement des pouvoirs et du prestige du Gouvernement allemand, 18 Avril 1950"	"n/a"
"Trachtenberg_FR_19500419"	"L'Allemagne et l'integration économique européenne, 19 Avril 1950"	"n/a"
"Trachtenberg_FR_19500421"	"Note: Garantie de sécurité de l'Allemagne de l'Ouest, 21 Avril 1950"	"n/a"
"Trachtenberg_FR_19500426"	"Note (envoyée à titre d'intrusions à monsieur Massigli): Examen du dossier préparé par la Direction d'Europe sur l'Allemagne, 26 Avril 1950 "	"n/a"
"Trachtenberg_FR_19500503"	"Télégramme de Francois-Poncet à Paris, 3 Mai 1949"	"n/a"
"Trachtenberg_FR_19500717"	"Télégramme de Francois-Poncet à Paris, Conversation avec M. Blankenhorn, 17 Juillet 1949"	"n/a"
"Trachtenberg_FR_19500807"	"Note: la limitation de la production d'acier allemande et le problème du réarmement, 7 Août 1950"	"n/a"
"Trachtenberg_FR_19500809"	"Télégramme de Parodi, Paris, à Ambafrance Washington, Londres, et Bonn, 9 Août 1950"	"n/a"
