EDI_NENA,Inventory of text source data files,,,,,,
,Revised 08 October 2017,,,,,,
,,,,,,,
,,,,,,,
EDI identifier,Organization or Program,Date of collection,Web browser,Location of source,"Permanent links (added by QDR as of May 30, 2018)",File name,Notes
NY001,New York Energy Democracy Alliance,4-Oct-17,Internet Explorer,http://energydemocracyny.org/mission,https://perma.cc/HSD8-SP5K,EDI_NENA.NY001.text.NYEDAMission.2017.nvcx,
NY001,New York Energy Democracy Alliance,4-Oct-17,Internet Explorer,http://energydemocracyny.org/eda-statement-on-the-paris-climate-accord,https://perma.cc/AFB3-DBUZ,EDI_NENA.NY001.text.NYEDAParis.2017.nvcx,
NY001,New York Energy Democracy Alliance,4-Oct-17,Internet Explorer,http://energydemocracyny.org/about-us,https://perma.cc/DQU4-JA4,EDI_NENA.NY001.text.NYEDAAboutUs.2017.nvcx,
NY001,New York Energy Democracy Alliance,4-Oct-17,Internet Explorer,http://energydemocracyny.org/energy-democracy-advocates-disrupt-new-yorks-energy-czar-to-spotlight-new-yorkers-left-out-of-states-rev-program,https://perma.cc/M7TV-DUWM,EDI_NENA.NY001.text.NYEDAAdvocates.2017.nvcx,
NY002,Trade Unions for Energy Democracy,4-Oct-17,Google Chrome,http://unionsforenergydemocracy.org/wp-content/uploads/2017/01/TUED-Working-Paper-9_Web-1.pdf,https://perma.cc/X92G-WNMX,EDI_NENA.NY002.text.SweeneyTreat.2017,
NY002,Trade Unions for Energy Democracy,4-Oct-17,Google Chrome,http://unionsforenergydemocracy.org/wp-content/uploads/2015/06/TUED-Power-to-the-Peoplefinal.pdf,https://perma.cc/U29P-AXJ3,EDI_NENA.NY002.text.TUEDWorkingPaper4.2015,
NY002,Trade Unions for Energy Democracy,4-Oct-17,Google Chrome,http://unionsforenergydemocracy.org/wp-content/uploads/2014/09/TUED-working-paper-2.pdf,https://perma.cc/K7GV-VXY7,EDI_NENA.NY002.text.Sweeney.2014,
NY002,Trade Unions for Energy Democracy,4-Oct-17,Google Chrome,http://unionsforenergydemocracy.org/wp-content/uploads/2014/05/resistreclaimrestructure_2013_english.pdf,https://perma.cc/2CSH-5LLY,EDI_NENA.NY002.text.Sweeney.2013,
NY002,Trade Unions for Energy Democracy,4-Oct-17,Google Chrome,http://unionsforenergydemocracy.org/full-report-from-an-international-meeting-on-the-energy-mix-and-the-commons-buenos-aires-argentina-english/,https://perma.cc/HPF5-UKMX,EDI_NENA.NY002.text.TUEDEnergyMixCommons.2017.nvcx,
NY002,Trade Unions for Energy Democracy,4-Oct-17,Google Chrome,http://unionsforenergydemocracy.org/about/our-history/,https://perma.cc/JJ4W-URKL,EDI_NENA.NY002.text.TUEDHistory.2017.nvcx,
NY002,Trade Unions for Energy Democracy,4-Oct-17,Google Chrome,http://unionsforenergydemocracy.org/about/about-the-initiative/,https://perma.cc/BUH6-CJAS,EDI_NENA.NY002.text.TUEDAbout.2017.nvcx,
NY003,350.org,5-Oct-17,Google Chrome,https://350.org/2016-annual-report/,https://perma.cc/5CCD-FEYK,EDI_NENA.NY003.text.350orgAnnualReport.2017.nvcx,
NY003,350.org,5-Oct-17,Google Chrome,https://350.org/about/,https://perma.cc/T56W-GFFZ,EDI_NENA.NY003.text.350orgAbout.2017.nvcx,
