FrequencyofCodeGroupsforeachSector	B	C	D	E	F	G	H	I
	""	"Challenges"	"Feasability"	"Technology"	"Data"	"Management"	"Hydrology"	"Emotion"
	"Academics"	"8.1199999999999994E-2"	"0.1656"	"0.1169"	"0.11360000000000001"	"0.2273"	"0.12659999999999999"	"0.16880000000000001"
	"Agriculture"	"3.0499999999999999E-2"	"0.12939999999999999"	"0.2056"	"8.1199999999999994E-2"	"0.20300000000000001"	"0.23100000000000001"	"0.1193"
	"Conservancy"	"2.5000000000000001E-2"	"0.1638"	"0.185"	"0.15029999999999999"	"0.1888"	"0.1888"	"9.8299999999999998E-2"
	"Engineering"	"1.26E-2"	"0.27310000000000001"	"0.2185"	"0.1807"	"0.18490000000000001"	"9.2399999999999996E-2"	"3.78E-2"
	"Environmental"	"9.1300000000000006E-2"	"0.1037"	"8.7099999999999997E-2"	"9.1300000000000006E-2"	"0.29459999999999997"	"0.1618"	"0.1701"
	"Municipal"	"0.13189999999999999"	"0.21279999999999999"	"0.16600000000000001"	"0.1191"	"0.22550000000000001"	"5.96E-2"	"8.5099999999999995E-2"
	"Political"	"4.02E-2"	"0.1449"	"0.18310000000000001"	"8.8499999999999995E-2"	"0.20319999999999999"	"0.21329999999999999"	"0.1268"
	"Tribal"	"3.2399999999999998E-2"	"0.17299999999999999"	"9.7299999999999998E-2"	"0.23780000000000001"	"0.2054"	"0.18920000000000001"	"6.4899999999999999E-2"
