ResourceID	Title	originalURL	Perma.ccURL	Elementarystudentssimulation(resourcepositionoutof20)	Middlestudentssimulation(resourcepositionoutof30)	Highschoolstudentssimulation(resourcepositionoutof40)	Highereducationsimulation(resourcepositionoutof40)	Container	Genre	Resourceisinall4simulations	ResourceisintheContainerTask	Openresource?
"CF01"	"IDENTIFICATION OF SEX SPECIFIC DNA REGIONS IN THE SNAKE GENOME USING A SUBTRACTIVE HYBRIDIZATION TECHNIQUE "	"http://www.aaabg.org/proceedings18/files/harris572.pdf "	"https://perma.cc/286T-GXHE"				26.0	"Conference Proceedings"	"Article"	""	"yes (adult)"	"?"
"JL05"	"Habitat Selection by the Invasive Species Burmese Python in Southern Florida"	"http://www.bioone.org/doi/full/10.1670/14-098"	"https://perma.cc/3DYB-JVYP"			14.0	27.0	"Journal"	"Article"	""	"yes (adult, 9-12)"	""
"WE10"	"Shockingly Intriguing Facts About the Burmese Python"	"http://www.buzzle.com/articles/burmese-python-facts.html\",\"http://www.buzzle.com/articles/burmese-python-facts.html"	""		12.0			"Website"	"Article"	""	""	"yes"
"CF02"	"COMMONLY KEPT SNAKE SPECIES AND HUSBANDRY, INCLUDING HUSBANDRY RELATED ISSUES "	"http://www.cabi.org/cabdirect/FullTextPDF/2007/20073120018.pdf "	""				28.0	"Conference Proceedings"	"Article"	""	"yes (adult)"	""
"BL04"	"Everglades Burmese Python Challenge: The Hunt for an Invasive Species"	"http://www.captainmitchs.com/airboat,tour,ride,evergladescity,captainmitch,adventures,capt,fishing,fish,/everglades-burmese-python/ "	"https://perma.cc/TNF5-JL8K"	1.0	1.0	1.0	1.0	"Blog"	"Article"	"yes"	"yes (all cohorts)"	"yes"
"BK06"	"The Effects of Burmese Pythons on Everglades Ecosystems"	"http://www.csus.edu/envs/Documents/Theses/Spring%202015/851.2015.Spring.pdf "	""	11.0	13.0	15.0	29.0	"Book"	"Thesis"	"yes"	""	"yes"
"BL05"	"What to Do With the Everglades Pythons"	"http://www.earthintransition.org/2012/08/what-to-do-with-the-everglades-pythons/ "	"https://perma.cc/HPL8-SEJ2"				30.0	"Blog"	"Article"	""	""	"yes"
"WE17"	"Python molurus bivittatus Burmese Python"	"http://www.eol.org/pages/2818934/overview\",\"http://www.eol.org/pages/2818934/overview "	""	12.0	14.0	16.0		"Website"	"Article"	""	"yes (9-12, 6-8, 4-5)"	"yes"
"MA02"	"Pythons squeeze out local species in South Florida"	"http://www.jstor.org/stable/41480713     "	"https://perma.cc/T9RB-2P5Q"			17.0	31.0	"Magazine"	"Article"	""	"yes (adult, 9-12)"	""
"WE14"	"Burmese Python"	"http://www.kidzsearch.com/wiki/Burmese_python"	"https://perma.cc/A9D4-DVGS"	13.0	15.0			"Website"	"Article"	""	""	"yes"
