Filename	Description	OriginalURL	Perma.cc
"Trachtenberg_PM_CM_19thCentury_Tapes_20100224"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100224-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100226"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100226-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100303"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100303-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100305"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100305-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100308"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100308-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_19thCentury_Tapes_20100310"	"Tapes of Lectures for Political Science 138a: Nineteenth Century International Politics. To get a sense for what each lecture covers, consult the syllabus."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138a/lectures/polsci138a-1-20100310-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Outlines"	"Outlines of Lectures for Political Science 138b: Twentieth Century International Politics; Although this list is for 2014, the course had the same structure in 2012, 2013 and 2014"	"n/a"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Syllabus"	"Syllabus for Political Science 138b: Twentieth Century International Politics (2014); The syllabus remained much the same for all four of the years covered here"	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/syllabus(2014).doc"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140106"	"Intro. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140106-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140108"	"Origins of the First World War. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140108-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140110"	"July Crisis.Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140110-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140113"	"First World War. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140113-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140115"	"Paris Peace Conference (I).Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140115-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140117"	"Paris Peace Conference (II).Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140117-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140122"	"1919-1923. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140122-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140124"	"1923-1932. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140124-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140127"	"1933-1936. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140127-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140129"	"1936-1939. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140129-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140131"	"Taylor. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140131-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140203"	"1939-1941. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140203-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140205"	"1941. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140205-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140207"	"1945. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140207-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140212"	"1946-1947. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140212-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140214"	"1948-1949 (I). Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140214-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140219"	"1948-1949 (II). Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140219-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140221"	"1945-1954. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140221-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140224"	"1954. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140224-a64.mp3"	"n/a"
"Trachtenberg_PM_CM_20thCentury_Tapes_20140226"	"1953-1958. Tapes of Lectures for Political Science 138b: Twentieth Century International Politics (2014). To get a sense for what each lecture covers, consult the syllabus and the outlines."	"http://www.sscnet.ucla.edu/polisci/faculty/trachtenberg/courses/138b/lectures/2014/polsci138b-1-20140226-a64.mp3"	"n/a"
