Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"ltarm"	"widespread_pain"	""	"checkbox"	"Left hand, arm, or shoulder"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
"rtleg"	"widespread_pain"	""	"checkbox"	"Right buttock, leg, or foot"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
"ltleg"	"widespread_pain"	""	"checkbox"	"Left buttock, leg, or foot"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
"chestabpelv"	"widespread_pain"	""	"checkbox"	"Chest, abdomen, or pelvis"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
"neckupback"	"widespread_pain"	""	"checkbox"	"Neck or upper back"	"1, yes | 0, no"	""	""			""	""	""	""		"wdspdpain"		""
"stomachpn"	"pain_somatization"	"During the past 4 weeks, how much have you been bothered by..."	"radio"	"Stomach pain"	"1, not bothered at all | 2, bothered a little | 3, bothered a lot"	""	""			""	""	""	""		"painsomat"		""
"headache"	"pain_somatization"	""	"radio"	"Headaches"	"1, not bothered at all | 2, bothered a little | 3, bothered a lot"	""	""			""	""	""	""		"painsomat"		""
"lowbackpainint"	"lowback_pain_specific_pain_intensity"	""	"dropdown"	"In the past 7 days...\nHow would you rate your low-back pain on average? \n"	"0, 0 (no pain) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 (Worst Imaginable Pain)"	""	""			""	""	""	"RH"		""		""
"opioidmeds"	"current_opioid_use"	""	"dropdown"	"<div class=\"rich-text-field-label\"><p>Are you currently taking any opioid pain medication on a daily basis?</p> <p><span style=\"font-weight: normal;\"><em>(Opioid or narcotic medications include prescription medications such as Vicodin, Lortab, Narco, Hydrocodone, codeine, Tylenol #3 or #4, Fentanyl, Duragesic, MS Contin, Percocet, OxyContin, oxycodone, Morphine, methadone, tramadol, Ultram, Dilaudid)</em></span></p></div>"	"1, yes | 0, no | 2, not sure"	""	""			""	""	""	""		""		""
"peg"	"peg_pain_intensity_and_pain_interference"	""	"descriptive"	"Select the one number that describes your pain. "	""	""	""			""	""	""	""		""		""
"peg_1"	"peg_pain_intensity_and_pain_interference"	""	"dropdown"	"<div class=\"rich-text-field-label\"><p>1) What number best describes your <span style=\"text-decoration: underline;\">pain on average </span>in the past week?</p></div>"	"0, 0 (no pain) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 (pain as bad as you can imagine)"	"0=no pain, 10=pain as bad as you can imagine"	""			""	""	""	"RH"		""		""
