Filename(s)	Permanent link	Original URL	Author	Title	Year	Publication	Date	Date scraped
"MyrickWeinstein_fpp_Iran_Azarip"	"https://perma.cc/N8EG-HAJZ"	"https://www.dw.com/fa-ir/%D8%B5%D8%A8%D8%A7-%D8%A2%D8%B0%D8%B1%D9%BE%DB%8C%DA%A9-%D8%A8%D9%87-%D9%82%DB%8C%D8%AF-%D9%88%D8%AB%DB%8C%D9%82%D9%87-%D8%A2%D8%B2%D8%A7%D8%AF-%D8%B4%D8%AF/a-17868747"	""	"??? ?????? ?? ??? ????? ???? ??"	2014	"DW Persian"	"8/21/2014"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Shafipour"	"https://perma.cc/J6SE-A2TJ"	"https://www.en-hrana.org/maryam-shafipour-released-evin-prison/"	"admin-hr"	"Maryam Shafipour Released from Evin Prison"	2015	"Hrana"	"7/22/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Egypt_El-Massry2014"	"https://perma.cc/BM47-HKTU"	"https://www.fidh.org/en/region/north-africa-middle-east/egypt/16079-egypt-provisional-release-of-ms-mahienour-el-massry"	""	"Egypt: Provisional release of Ms. Mahienour El-Massry"	2014	"International Federation for Human Rights"	"9/23/2014"	"9/8/2021"
"MyrickWeinstein_fpp_Vietnam_Hang"	"https://perma.cc/4P3B-WWG7"	"https://www.frontlinedefenders.org/en/case/case-history-bui-thi-minh-hang"	""	"Case History: Bui Thi Minh Hang"	2017	"Front Line Defenders"	"2/14/2017"	"9/9/2021"
"MyrickWeinstein_fpp_China_Shuyun"	"https://perma.cc/R3SA-BQBQ"	"https://www.frontlinedefenders.org/en/case/case-history-li-shuyun"	""	"Case History: Li Shuyun"	2016	"Front Line Defenders"	"4/11/2016"	"9/8/2021"
"MyrickWeinstein_fpp_China_Di"	"https://perma.cc/48JD-HG5K"	"https://www.frontlinedefenders.org/en/case/case-history-liu-di"	""	"Case history: Liu Di"	2014	"Front Line Defenders"	"6/6/2014"	"9/8/2021"
"MyrickWeinstein_fpp_Egypt_El-Massry2"	"https://perma.cc/L9WS-FBXF"	"https://www.frontlinedefenders.org/en/case/case-history-Mahienour-El-Masry"	""	"Case History: Mahienour El-Masry"	2016	"Front Line Defenders"	"1/10/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Behkish"	"https://perma.cc/NC7K-ND32"	"https://www.frontlinedefenders.org/en/case/case-history-mansoureh-behkish"	""	"Case History: Mansoureh Behkish"	2015	"Front Line Defenders"	"12/17/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmer_Win"	"https://perma.cc/9GRY-VU66"	"https://www.frontlinedefenders.org/en/case/case-history-san-san-win"	""	"Case History: San San Win"	2016	"Front Line Defenders"	"1/6/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Egypt_Seif"	"https://perma.cc/J28K-TNBE"	"https://www.frontlinedefenders.org/en/case/case-history-sanaa-seif"	""	"Case History: Sanaa Seif"	2016	"Front Line Defenders"	"11/15/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmar_Htwe"	"https://perma.cc/GJQ2-GAQ8"	"https://www.frontlinedefenders.org/en/case/case-history-sein-htwe"	""	"Case History: Sein Htwe"	2016	"Front Line Defenders"	"1/6/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Egypt_Sallam"	"https://perma.cc/9NVL-SDA7"	"https://www.frontlinedefenders.org/en/case/case-history-yara-sallam"	""	"Case History: Yara Sallam"	2015	"Front Line Defenders"	"9/24/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Mohammadi"	"https://perma.cc/VUP6-XT62"	"https://www.gc4hr.org/news/view/1263"	""	"Iran: Human rights defender Narges Mohammadi sentenced to 16 years in prison"	2016	"Gulf Centre for Human Rights"	"5/20/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Hedayat"	"https://perma.cc/A3WP-5V8Q"	"https://www.gc4hr.org/news/view/1362"	""	"Update: Iran: Student activist and WHRD Bahareh Hedayat released"	2016	"Gulf Centre for Human Rights"	"5/9/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Bidgoli"	"https://perma.cc/9VXU-7YTR"	"https://www.gopetition.com/petitions/free-iranian-womens-rights-activist-maryam-bidgoli.html"	"Burke, John S."	"Free Iranian Women's Rights Activist Maryam Bidgoli"	2011	"GoPetition"	"7/26/2011"	"9/8/2021"
"MyrickWeinstein_fpp_Ethiopia_Katila"	"https://perma.cc/V2BM-453S"	"https://www.hrw.org/legacy/wr2k3/africa5.html"	""	"Human Rights Watch World Report 2003: Africa: Ethiopia"	2003	"Human Rights Watch"	"6/25/1905"	"9/8/2021"
"MyrickWeinstein_fpp_Ethiopia_Mideksa"	"https://perma.cc/TN75-QYLW"	"https://www.hrw.org/news/2009/01/08/ethiopia-new-law-ratchets-repression"	""	"Ethiopia: New Law Ratchets up Repression"	2009	"Human Rights Watch"	"1/8/2009"	"9/8/2021"
"MyrickWeinstein_fpp_China_Hongfen"	"https://perma.cc/N4UX-26XZ"	"https://www.nchrd.org/2014/12/prisoner-of-conscience-ding-hongfen/"	""	"Ding Hongfen (???)"	2014	"Chinese Human Rights Defenders"	"12/2/2014"	"9/8/2021"
"MyrickWeinstein_fpp_Ethiopia_Kifle3 �"	"https://perma.cc/A63N-RCKE"	"https://www.news24.com/News24/Ethiopia-Journos-politicians-get-jail-time-20120127"	""	"Ethiopia: Journos, politicians get jail time"	2012	"News24"	"1/27/2012"	"9/8/2021"
"MyrickWeinstein_f20news_nyt_2015-09-26"	"https://perma.cc/KRX9-ERXU"	"https://www.nytimes.com/2015/09/27/world/un-summit-meeting-on-womens-rights-highlights-more-tension-between-us-and-china.html"	"Sengupta, Somini"	"U.N. Summit Meeting on Women�s Rights Highlights More Tension Between U.S. and China"	2015	"The New York Times"	"9/26/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Egypt_al-Taweel"	"https://perma.cc/HXG5-9UNQ"	"https://www.nytimes.com/2015/12/21/world/middleeast/egypt-releases-esraa-al-taweel-cairo.html"	"Ismail, Amina"	"Egypt Releases Student in a Rare Bow to Public Pressure"	2015	"The New York Times"	"12/20/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Uzbekistan_Khaidarova"	"https://perma.cc/G6G3-9V36"	"https://www.refworld.org/docid/429b27fc2.html"	""	"Amnesty International Report 2005 - Uzbekistan"	2005	""	"5/25/2005"	"9/9/2021"
"MyrickWeinstein_fpp_Syria_Saleh'Ali"	"https://perma.cc/6KG5-RH4B"	"https://www.refworld.org/docid/4c03a7fb3e.html"	""	"Amnesty International Report 2010 - Syria"	2010	""	"5/28/2010"	"9/9/2021"
"MyrickWeinstein_fpp_Syria_al-Hassani"	"https://perma.cc/C5PL-R2CN"	"https://www.refworld.org/docid/4dce153934.html"	""	"Amnesty International Annual Report 2011 - Syria"	2011	""	"5/13/2011"	"9/9/2021"
"MyrickWeinstein_fpp_Syria_al-Salhani"	"https://perma.cc/6QRK-4E45"	"https://www.refworld.org/docid/519f51685e.html"	""	"Amnesty International Annual Report 2013 - Syria"	2013	""	"5/23/2013"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Karroubi2"	"https://perma.cc/6JVX-TXBS"	"https://www.refworld.org/docid/5285fadf4.html"	""	"Iran: 1,000 Days Under House Arrest"	2013	""	"11/12/2013"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Salbehi"	"https://perma.cc/HM9H-W6BF"	"https://www.refworld.org/docid/5620b7c24.html"	""	"Iran: Execution of two juvenile offenders in just a few days makes a mockery of Iran's juvenile justice system"	2015	""	"10/14/2015"	"9/8/2021"
"MyrickWeinstein_fpp_China_Zhenhong"	"https://perma.cc/26T2-TEU9"	"https://www.rfa.org/english/news/china/china-lawyer-05192015133049.html"	"Mudie, Luisetta"	"China Releases Rights Lawyer, Pu Zhiqiang's Niece, 'On Bail'"	2015	"Radio Free Asia"	"5/19/2015"	"9/8/2021"
"MyrickWeinstein_fpp_China_Xinna"	"https://perma.cc/U94U-746C"	"https://www.rfa.org/english/news/china/hada-11072012183313.html"	"Vandenbrink, Rachel"	"Dissident�s Wife, Son �Disappear�"	2012	"Radio Free Asia"	"11/7/2012"	"9/8/2021"
"MyrickWeinstein_fpp_China_Kyi"	"https://perma.cc/M3DG-67VJ"	"https://www.rfa.org/english/news/tibet_bail-05202008174657.html"	"Jackson-Han, Sarah"	"Leading Tibetan Freed, Awaiting Trial"	2008	"Radio Free Asia"	"5/20/2008"	"9/8/2021"
"MyrickWeinstein_fpp_Vietnam_Khuong"	"https://perma.cc/4RK8-UP6J"	"https://www.rfa.org/english/news/vietnam/vietnam-dissent-01152016152707.html"	"Boliek, Brooks"	"Prominent Vietnam Activist Released From Jail But Has Nowhere to Live"	2016	"Radio Free Asia"	"1/15/2016"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Azima"	"https://perma.cc/B9PH-5HTC"	"https://www.rferl.org/a/1078698.html"	""	"RFE/RL Journalist In U.S. Following Virtual Imprisonment"	2007	"RadioFreeEurope/RadioLiberty"	"9/19/2007"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Haghighat-Pajouh"	"https://perma.cc/Z5NH-L5XF"	"https://www.rferl.org/a/Daughter_Speaks_Out_Against_Mothers_Execution_In_Iran/1353429.html"	""	"Daughter Speaks Against Mother's Execution"	2018	"RadioFreeEurope/RadioLiberty"	"11/26/2018"	"9/8/2021"
"MyrickWeinstein_fpp_China_Zhenping"	"https://perma.cc/J86P-ZS3J"	"https://www.theepochtimes.com/amnesty-international-aids-chinese-womans-escape-from-persecution-against-falun-gong_1886088.html"	"Li, Jenny"	"Amnesty International Aids Chinese Woman's Escape From Persecution Against Falun Gong"	2015	"The Epoch Times"	"10/27/2015"	"9/8/2021"
"MyrickWeinstein_f20news_usatoday_2015-09-27"	"https://perma.cc/S566-FPYW"	"https://www.usatoday.com/story/news/2015/09/27/chinas-president-xi-jinping-says-empowerment-women-vital-but-critics-note-his-nations-poor-treatment-some-women-activists/72929602/"	"Jones, Charisse"	"China's Xi Jinping says empowering women is vital; critics note poor treatment"	2015	"USA TODAY"	"9/27/2015"	"9/8/2021"
"MyrickWeinstein_f20news_voanews_2015-09-16"	"https://perma.cc/WK8C-9B33"	"https://www.voanews.com/usa/us-spotlights-plight-female-political-prisoners-around-world"	"Besheer, Margaret"	"US Spotlights Plight of Female Political Prisoners Around World | Voice of America - English"		"Voice of America"	""	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Farghadani"	"https://perma.cc/8GZP-M5TE"	"https://www.washingtonpost.com/news/comic-riffs/wp/2016/05/04/cartoonist-atena-farghadani-sentenced-for-satirizing-government-as-animals-is-freed-in-iran/"	"Cavna, Michael"	"Cartoonist Atena Farghadani, sentenced for satirizing government as animals, is freed in Iran"	2016	"Washington Post"	"5/4/2016"	"9/8/2021"
"MyrickWeinstein_azerbaijan_washingtonpost_2016-01-20"	"https://perma.cc/T27B-RY8P"	"https://www.washingtonpost.com/news/monkey-cage/wp/2016/01/20/3-reasons-the-u-s-wont-break-with-azerbaijan-over-its-violations-of-human-rights-and-democratic-freedoms/"	"Ramani, Samuel"	"Three reasons the U.S. won�t break with Azerbaijan over its violations of human rights and democratic freedoms"	2016	"Washington Post"	"1/20/2016"	"9/8/2021"
"MyrickWeinstein_fpp_Russia_Alekhina; MyrickWeinstein_fpp_Russia_Tolokonnikova"	"https://perma.cc/AZ5H-4WPX"	"https://www.washingtonpost.com/news/worldviews/wp/2013/12/23/freed-pussy-riot-member-this-is-not-an-amnesty-this-is-a-hoax-and-a-pr-move/"	""	"Freed Pussy Riot member: �This is not an amnesty. This is a hoax and a PR move.�"	2013	"Washington Post"	"12/23/2013"	"9/8/2021"
"MyrickWeinstein_f20news_wsj_2015-09-26"	"https://perma.cc/9EDR-V5Y7"	"https://www.wsj.com/articles/china-to-co-host-u-n-womens-conference-amid-questions-about-its-record-on-issue-1443318992"	"Chin, Farnaz Fassihi And Josh"	"China to Co-Host U.N. Women�s Conference Amid Questions About Its Record on Issue"	2015	"Wall Street Journal"	"9/27/2015"	"9/8/2021"
