Filename(s)	Permanent link	Original URL	Author	Title	Year	Publication	Date	Date scraped
"MyrickWeinstein_fpp_China_Yu_Wang"	"https://perma.cc/WRB9-KP5D"	"https://chinachange.org/2018/05/09/how-lawyer-wang-yu-was-made-to-denounce-the-american-bar-associations-human-rights-award-in-2016/"	""	"How Lawyer Wang Yu Was Made to Denounce the American Bar Association�s Human Rights Award in 2016"	2018	"China Change"	"5/10/2018"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Afroutan"	"https://perma.cc/TAL5-3VU4"	"https://cpj.org/2006/06/two-journalists-freed-on-bail/"	""	"Two journalists freed on bail"	2006	"Committee to Protect Journalists"	"6/15/2006"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_al-Mallohi"	"https://perma.cc/9D3B-UWV2"	"https://cpj.org/data/people/tal-al-mallohi/"	""	"Tal al-Mallohi"		"Committee to Protect Journalists"	""	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Ghadiri2"	"https://perma.cc/67HT-S3GN"	"https://deathpenaltynews.blogspot.com/2009/10/iran-five-hanged-in-tehrans-evin-prison.html"	""	"Iran: Five hanged in Tehran's Evin prison"	2009	"Death Penalty News"	"10/21/2009"	"9/8/2021"
"MyrickWeinstein_fpp_China_Huanjun"	"https://perma.cc/5ZKH-LSSJ"	"https://en.boxun.com/2015/02/07/new-citizens-movement-member-ms-li-huanjun-evades-surveillance-and-successfully-arrives-in-the-united-states/"	""	"Activist Li Huanjun evades surveillance and arrives in the United States | Boxun News"	2015	"Boxun News"	"2/7/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Rahnavard2"	"https://perma.cc/DEF2-LTLC"	"https://en.trend.az/iran/politics/2899012.html"	""	"Iranian MP: Opposition figure�s 8-year house arrest lifted"	2018	"Trend.Az"	"5/6/2018"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_Ma'rouf"	"https://perma.cc/4J28-7CZH"	"https://en.wikipedia.org/w/index.php?title=Tuhama_Mahmoud_Ma%27rouf&oldid=753013821"	""	"Tuhama Mahmoud Ma'rouf"	2016	"Wikipedia"	"12/4/2016"	"9/9/2021"
"MyrickWeinstein_fpp_Iran_Mahdavi"	"https://perma.cc/PJA2-CSKE"	"https://english.mojahedin.org/id/f2d4cb30-bbda-45ec-9ed9-8cf02c951f2c"	""	"Execution of female prisoner in Iran | People's Mojahedin Organization of Iran (PMOI/MEK)"	2015	"PMOI"	"8/12/2015"	"9/8/2021"
"MyrickWeinstein_fpp_Myanmar_SuuKyi"	"https://perma.cc/6X4Z-FV8S"	"https://factsanddetails.com/southeast-asia/Myanmar/sub5_5b/entry-3020.html"	"Hays, Jeffrey"	"AUNG SAN SUU KYI RETURNS TO HOUSE ARREST IN THE EARLY 2000s | Facts and Details"	2014	"Facts and Details"	"2014-05"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_ Damur"	"https://perma.cc/E2DY-ZR4X"	"https://fayllar.org/united-nations-e.html?page=56"	""	"Osman�Ahmed�Fagharay - United nations e"		"fayllar.org"	""	"9/9/2021"
"MyrickWeinstein_fpp_Myanmar_OhnHla"	"https://perma.cc/4LCF-YJ4B"	"https://globalfreedomofexpression.columbia.edu/cases/the-case-of-naw-ohn-hla-the-chinese-embassy-protest/"	""	"The Case of Naw Ohn Hla (The Chinese Embassy Protest)"		"Global Freedom of Expression"	""	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Karroubi"	"https://perma.cc/5GTW-2T47"	"https://ipa.united4iran.org/en/prisoner/2212/"	""	"Fatemeh Karroubi - Political Activism"		"United For Iran"	""	"9/8/2021"
"MyrickWeinstein_fpp_Iran_Jahromi"	"https://perma.cc/5SK4-AXP6"	"https://news.bahai.org/story/802/"	""	"Two Shiraz Baha'is released after three years in prison"	2010	"Bah�� World News Service"	"12/14/2010"	"9/8/2021"
"MyrickWeinstein_fpp_Syria_RajabFawaz"	"https://perma.cc/NAD9-UU6M"	"https://orient-news.net/en/news_show/133210/0/Faten-Rajab-An-example-of-how-Assad-regime-treats-detained-women"	"Sikora, Ruthanne"	"Faten Rajab: An example of how Assad regime treats detained women"	2017	"Orient-news.net"	"3/8/2017"	"9/9/2021"
"MyrickWeinstein_fpp_Vietnam_Tan"	"https://perma.cc/J9FZ-2DJH"	"https://pen.org/advocacy-case/ta-phong-tan/"	""	"Ta Phong Tan"	2013	"PEN America"	"11/8/2013"	"9/9/2021"
"MyrickWeinstein_f20news_rferl_2015-09-02"	"https://perma.cc/G3B2-V7JZ"	"https://pressroom.rferl.org/a/journalists-in-trouble-us-campaigns-to-free-women-political-prisoners/27222437.html"	""	"US Campaigns to Free Women Political Prisoners"	2015	"RFE/RL"	"9/2/2015"	"9/8/2021"
"MyrickWeinstein_fpp_China_Xia"	"https://perma.cc/3HV7-B2AF"	"https://time.com/5334264/liu-xia-liu-xiaobo-china-house-arrest-berlin/"	"Haynes, Suyin"	"Widow of Nobel Laureate Freed From House Arrest in China"	2018	"Time"	"7/10/2018"	"9/8/2021"
