file	duration	year	candidate	round	date1	time1	date2	time2	date3	time3	date4	time4	date5	time5	date6	time6	source	notes	content
"Chile_1988_No_13"	901	1988	"No"		"9/16/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"happiness coming; issue of poverty; government policy--clearing out the slums; the sad results of this policy; Sergio Wilson: issue of housing; Frei formally recognized poblador organizations; the No intends to do the same; introducing the guy from the campo; we don't want to tell you our vote; but things going well for the NO; things are not going well for us economically; keep watching this program; PH is first party to register; but electoral service rejects their registration; Hirsch: this is the government's effort to keep us from getting our apoderados; Vote no, free elections next year; vote yes, Pinochet till 1997; ex-minister: the government has violated its founding principles; I intend to vote No for the sake of national unity and democracy"
"Chile_1988_No_14"	905	1988	"No"		"9/17/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"la alegr�a ya viene jingle; senior couple working in the streets; censorship of previous week's show; Pinochet talking about freedom of speech; Worker's party support for No; Music by Joan Manuel Serrat; Serrat's criticism of Pinochet; No pins sale is the most popular;  Nadie lo quiere recibir song; Re-opening of Museo Bellas Artes; Chilean artist denounce re-opening of museum; Women who say no clip; Retirement benefits are not enough to survive; Partido de los Jubilados' support for No; la alegr�a ya viene music video; la alegr�a ya viene jingle"
"Chile_1988_No_15"	899	1988	"No"		"9/18/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"Sept. 18: today we are all one; we love Chile; happiness is in the people; our past belongs to all of us Chileans; act rejecting the UF policy; our current housing situation; this is a widespread problem; No victory will solve this problem; no means change; we're voting No; I support the No because I believe in unity; we can achieve unity"
"Chile_1988_No_16"	882	1988	"No"		"9/19/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"la alegr�a ya viene jingle; kids reciting rural poetry; rural kids dancing national music; Chile's military important history as peace keepers; No means freedom of chosing a candidate; Mother's support for No for her kids' future; children drawings of No campaign; Safety of voting for one's preference; Structure of elections; The blue Danube with No song; How to make your vote count; German Riesco's testimony and support for No; la alegr�a ya viene music video; vamos a decir que No music song"
"Chile_1988_No_17"	898	1988	"No"		"9/20/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"desaparecidos; Banados: they are the subject of Sting song \"\"they dance alone\"\"; Sting, they dance alone; Green Party criticizes treatment of women by this regime; woman says the same thing; PV supports NO; Banados: what the two options mean; protest against torture; analysis of the issue of torture; what will be necessary in the future in order to fix this problem; Banados: but to whom has this happened?; I was tortured; I'm voting No for a better future; soccer player: she's my mother, I'm voting No for same reason; Toha: we youth want a better future; violence occurs because Pinochet incites it; Pinochet abuses violence in his advertising; we need a change; vote will be secret"
"Chile_1988_No_18"	902	1988	"No"		"9/21/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"la alegr�a ya viene jingle; Economy and rejection of speculation; economical crisis; Alejandro Foxley on Chilean economoy and his support for the No campaign; la alegr�a ya viene music video; Pinochet: the losing candidate; Day of the Radio workers; No me gusta no song; Terrorsit attacks: Carlos Prats Gonzales's death in 1974, Don Bernardo Leiton in 1975 hurt by gunshots, Don Orlando Letedier in 1976; Testimony by daugther of Carlos Prats Gonzales about her father's death and the other attacks; civilians saying they will vote No; la alegr�a ya viene music video; "
"Chile_1988_No_19"	880	1988	"No"		"9/22/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"importance of culture; Arrau: I believe in democracy; problem of public health; common people describe health problems; Dr: problem of public health; this is b/c gov has underfunded public health; things will be better in democracy, so vote No; laughing at all of Pinochet's titles; I'm voting No b/c of poverty; Banados: what the two options mean; Belisario Velasco explains national campaign strategy; gov's propaganda lies; there is unemployment; people talk about informal sector work; Hirsch: the regime can't undo the past; the No is about a better future; we call for active non-violence"
"Chile_1988_No_20"	905	1988	"No"		"9/23/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"La alegr�a ya viene jingle; Terrorsit attacks: Carlos Prats Gonzales's death in 1974, Don Bernardo Leiton in 1975 hurt by gunshots, Don Orlando Letedier in 1976; Pinochet has nor allowed investigations; Victor Manuel singing; Victor Manuel's words for Chileans and call for democracy; Campesino's support for No; Neruda reads one of his poems; Manuel Bustos's support for No; Tucapel Jimenez; No as a more equal economical opportunity for everybody, not just the rich; Testimony by Enrique Silva Cimma and positive vision OF No's victory; tips on how to vote; la alegr�a ya viene music video"
"Chile_1988_No_21"	898	1988	"No"		"9/24/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"horsemen; get involved in the march; reporting on meeting of lawyers for the No; regime's disrespect for rule of law, human rights; no, for us, means security; issue: health; problem of public health; common people describe health problems; Dr: problem of public health; this is b/c gov has underfunded public health; things will be better in democracy, so vote No; laughing at all of Pinochet's titles; issue of technology; but tech must be for education; government has used technology for control; the provinces are in the No franja; we're voting no; no victory means freedom; the president says there are jobs but we don't have them; Banados: what the two options mean; artists are voting NO; how to vote validly"
"Chile_1988_No_22"	904	1988	"No"		"9/25/1988"	""	""	""	""	""	""	""	""	""	""	""	"Marin"	""	"La alegr�a ya viene jingle; behind the scenes la alegr�a ya viene/vamos a decir que no music video; last Sunday on air; workers get no bonuses; No me gusta no song;housing projects and testimonies by people affected by this; lack of services; Sergio Wilson on the lack of services and bad housing projects in Santiago and other smaller communities; Importance of democracy and participation; La alegr�a est� en marcha video; Anita Gonzales and La Desideria's support for No; Valparaiso's teachers walk for the No campaign; tips on how to vote; La alegr�a ya viene jingle and Vamos a decir que no music video"
