file	duration	year	candidate	round	source	content
"Peru_2001_Garcia_15"	172	2001	"Garcia"	1	"Ghibellini"	"Alan Chiclayo rally; Alan saying something unintellible about the pueblo; problems of Fujimori economic model; tarifas need to come down; first measure will be launching Banco Agrario"
"Peru_2001_Garcia_16"	146	2001	"Garcia"	1	"Ghibellini"	"summary of Alan's proposals in Chimbote rally; I propose change in economic model; criticism of Fujimori economic model; the transition is over, time to worry about bread and butter issues"
"Peru_2001_Garcia_17"	11	2001	"Garcia"	1	"Ghibellini"	"attend closing rally"
"Peru_2001_Garcia_18"	155	2001	"Garcia"	1	"Ghibellini"	"in Ica Alan says he'll campaign with all Peruvians; my government will be a unity government; I was exiled, but Peruvians have been too, and I understand their problems; I have faith in peru; ag can be reactivated; faith in Peruvian industry; faith in youth, new tech; ask not what Peru can do for you�"
"Peru_2001_Garcia_19"	152	2001	"Garcia"	1	"Ghibellini"	"in San Juan de Miraflores Alan proposes social justice; gov econ model is terrible, but people have created their own jobs"
"Peru_2001_Garcia_20"	153	2001	"Garcia"	1	"Ghibellini"	"Alan rally in Sullana; Fuji's coup was in part to turn the country over to monopolies; we need to worry about social justice; Piura, I'm with you, you're with me"
"Peru_2001_Garcia_21"	30	2001	"Garcia"	1	"Ghibellini"	"we will end the abuse of the \"\"services\"\""
"Peru_2001_Garcia_22"	29	2001	"Garcia"	1	"Ghibellini"	"I will lower utility prices"
"Peru_2001_Garcia_23"	11	2001	"Garcia"	1	"Ghibellini"	"Vote decided? Think again"
"Peru_2001_Garcia_24"	147	2001	"Garcia"	2	"Ghibellini"	"Alan will create >1m jobs in 24 months; Song \"\"Yo me llamo Peru\"\", with proposals"
"Peru_2001_Garcia_25"	152	2001	"Garcia"	2	"Ghibellini"	"Peru has potential; there are many problems; I will have a unity government; people created their own jobs, i.e. mototaxis"
"Peru_2001_Garcia_26"	35	2001	"Garcia"	2	"U Lima"	"education presently very expensive; I'll make it free"
"Peru_2001_Garcia_27"	118	2001	"Garcia"	2	"Ghibellini"	"Alan has experience; irrigation projects; agricultural advancement; electricity generation; tren electrico in Lima; fish industry was doing great--people ate a lot; more infrastructure projects; pro-labor legislation; gave and will give jobs"
