Filename	Title	Source
"Trachtenberg_BR_19590630"	"Roberts Memorandum for Prime Minister Macmillan, European Rocket Project, June 30, 1959"	"Public Record Office, London"
"Trachtenberg_BR_19591203"	"Roberts Note to Lloyd re: de Gaulle's attitude to NATO (Parts)"	"n/a"
"Trachtenberg_BR_19591214"	"Paris Talks with President Eisenhower and President de Gaulle, December 14, 1959"	"n/a"
"Trachtenberg_BR_19591219"	"Record of a Meeting at the Elysee: President de Gaulle; President Eisenhower et al., December 19, 1959"	"n/a"
"Trachtenberg_BR_19591220"	"Record of Meeting at Rambouillet: President de Gaulle; President Eisenhower et al., December 20, 1959"	"n/a"
"Trachtenberg_BR_19591221"	"Extract from Record of Conversation between the Secretary of State and Mr. Herter at the American Embassy in Paris, December 21, 1959"	"n/a"
"Trachtenberg_BR_19591222"	"Paris Conference, Millar, December 22, 1959"	"n/a"
"Trachtenberg_BR_19591223_1"	"Note re: Tripartite Group (part), sender unknown"	"n/a"
"Trachtenberg_BR_19591223_2"	"Hoyer Millar Letter to Lloyd, December 23, 1959"	"n/a"
"Trachtenberg_BR_19591230"	"Herter Letter to Lloyd, December 30, 1959"	"n/a"
"Trachtenberg_BR_19591231"	"A Zone of Inspection or Limitation of Armaments, April 23, 1959"	"n/a"
"Trachtenberg_BR_19600110_1"	"Rather Letter to Jebb, January 10, 1960"	"n/a"
"Trachtenberg_BR_19600110_2"	"Miller Letter to Caccia, January 10, 1960"	"n/a"
"Trachtenberg_BR_19600113"	"Hoyer Millar Letter to Lloyd, January 13, 1960"	"n/a"
"Trachtenberg_BR_19600123"	"Murvillle Letter to Herter, January 23, 1960"	"n/a"
"Trachtenberg_BR_19600126"	"Steel Letter to Rumbold, January 26, 1960"	"n/a"
"Trachtenberg_BR_19600128"	"Telegram from Washington to Foreign Office No. 38, January 26, 1960"	"n/a"
"Trachtenberg_BR_19600130"	"Telegram from Washington to Foreign Office No. 62, January 30, 1960"	"n/a"
"Trachtenberg_BR_19600202"	"Telegram from Washington to Foreign Office No. 478, February 2, 1960"	"n/a"
"Trachtenberg_BR_19600203"	"Herter Letter to Lloyd, February 3, 1960"	"n/a"
"Trachtenberg_BR_19600205"	"Telegram from Washington to Foreign Office No. 73, February 3, 1960"	"n/a"
"Trachtenberg_BR_19600209"	"Telegram from Washington to Foreign Office No. 222, February 6, 1960"	"n/a"
"Trachtenberg_BR_19600212"	"Telegram from Washington to Foreign Office No. 275, February 11, 1960"	"n/a"
"Trachtenberg_BR_19600216"	"Telegram from Washington to Foreign Office No. 311, February 16, 1960"	"n/a"
"Trachtenberg_BR_19600217"	"Telegram from Foreign Office to Washington No. 680, February 17, 1960"	"n/a"
"Trachtenberg_BR_19600218"	"Foreign Secretary's Draft Letter to Herter"	"n/a"
"Trachtenberg_BR_19600219"	"Hoyer Millar Note, February 19, 1960"	"n/a"
