Author/GoverningBody	Year	DateFound	ResourceType	FileName	ResourceURL	G
""	2010.0	"43601"	"Housing Contract"	"Svyantek_VT_HousingContract_2010.pdf"	"https://web.archive.org/web/20100606112707/http://www.studentprograms.vt.edu/housing/documents/2010_2011_Terms_and_Conditions_Freshmen_Transfer_Students_Contract.pdf"	""
""	2010.0	"43601"	"Housing Contract - Return"	"Svyantek_VT_HousingContractReturn_2.pdf"	"https://web.archive.org/web/20100606113334/http://www.studentprograms.vt.edu/housing/documents/2010_2011_Terms_and_Conditions_Returning_Student_Contract.pdf"	""
""	2010.0	"43606"	"Syllabus Statement webpage"	"Svyantek_VT_SyllabusStatement_2010.pdf"	"https://web.archive.org/web/20100529210949/http://www.ssd.vt.edu/syllabusstatements.htm"	""
""	2010.0	"43607"	"University Accommdations Policy 4025"	"Svyantek_VT_AccommodationPolicy_3.pdf"	"http://web.archive.org/web/20150905064306/http://www.policies.vt.edu/4075.pdf"	""
""	2010.0	"43611"	"Staff Handbook"	"Svyantek_VT_StaffHandbook_2.pdf"	"http://web.archive.org/web/20100529220540/http://www.hr.vt.edu/files/file_hr_emp_handbook.pdf"	""
""	2010.0	"43611"	"ADA Policies (multi)"	"Svyantek_VT_ADAPoliciesMulti.pdf"	"https://web.archive.org/web/20100530165258/https://www.hr.vt.edu/ada/resources/Policies/Index_Policies_Resources.html"	""
""	2010.0	"43611"	"Grad Catalog"	"Svyantek_VT_CatalogGrad_2010.pdf"	"https://secure.graduateschool.vt.edu/old_catalog/previous_catalogs/2010_2011.pdf"	""
""	2010.0	"43611"	"Undergrad Catalog"	"Svyantek_VT_CatalogUG_2010.pdf"	"http://wayback.archive-it.org/5315/20180521161930/http://spec.lib.vt.edu/archives/catalog/2011Undergraduate.pdf"	""
""	2010.0	"N/A"	"IT Policy"	"Svyantek_VT_ITPolicy_2006_2.pdf"	""	""
"Provost's Office"	2015.0	"43491"	"Faculty Handbook"	"Svyantek_VT_Faculty_2015.pdf"	"https://vtechworks.lib.vt.edu/bitstream/handle/10919/79875/2015-16%20Faculty%20Handbook.pdf?sequence=1&isAllowed=y"	""
"CGS&P"	2015.0	"43491"	"Graduate Catalog"	"Svyantek_VT_CatalogGrad_2015.pdf"	"https://secure.graduateschool.vt.edu/old_catalog/previous_catalogs/catalog-2015-2016.pdf"	""
"Registrar"	2015.0	"43491"	"Undergraduate Catalog"	"Svyantek_VT_CatalogUG_2015.pdf"	"https://www.undergradcatalog.registrar.vt.edu/2015-16%20Undergraduate%20Catalog.pdf"	""
""	2015.0	"43600"	"Parking Rules and Regulations"	"Svyantek_VT_Parking_2015.pdf"	""	""
""	2015.0	"43601"	"Housing Contract - Grad"	"Svyantek_VT_HousingContractGrad12Month_2015.pdf"	"https://www.housing.vt.edu/content/dam/housing_vt_edu/assets/doc/2015_2016_Terms_and_Conditions_Graduate_Students_12_month.pdf"	""
""	2015.0	"43601"	"Housing Contract"	"Svyantek_VT_HousingContract_2015.pdf"	"https://www.housing.vt.edu/content/dam/housing_vt_edu/assets/doc/2015_2016_Terms_and_Conditions_Freshman_Transfer_Students.pdf"	""
""	2015.0	"43606"	"Syllabus Statement webpage"	"Svyantek_VT_SyllabusStatement_2015.pdf"	"https://web.archive.org/web/20150906192246/http://ssd.vt.edu/faculty_departments/syllabus_statements.html"	""
""	2015.0	"43607"	"University Accommdations Policy 4025"	"Svyantek_VT_AccommodationPolicy_4.pdf"	"http://web.archive.org/web/20150905064306/http://www.policies.vt.edu/4075.pdf"	""
""	2015.0	"43609"	"SSD Incoming Students Process"	"Svyantek_VT_SSDIncomingStudentsProcess_2.pdf"	"http://web.archive.org/web/20151023154234/http://www.ssd.vt.edu/assets/docs/steps_for_accommodations_prospective_letterhead.pdf"	""
""	2015.0	"43609"	"SSD Enrolled Students Process"	"Svyantek_VT_SSDEnrolledStudentsProcess_2.pdf"	"http://web.archive.org/web/20151023154243/http://www.ssd.vt.edu/assets/docs/steps_for_accommodations_for_enrolled_students.pdf"	""
""	2015.0	"43609"	"SSD Documentation General Guidelines"	"Svyantek_VT_SSDDocumentationGeneralGuidelines_2.pdf"	"http://web.archive.org/web/20150906220150/http://www.ssd.vt.edu/registering/disability_documentation.html"	""
""	2015.0	"43609"	"SSD Documentation Specific Guidelines"	"Svyantek_VT_SSDDocumentationSpecificGuidelines.pdf"	"http://web.archive.org/web/20150906220150/http://www.ssd.vt.edu/registering/disability_documentation.html"	""
""	2015.0	"43609"	"SSD Documentation Medical Guidelines"	"Svyantek_VT_SSDDocumentationMedicalGuidelines_2.pdf"	"http://web.archive.org/web/20150915152605/http://www.ssd.vt.edu/assets/docs/MedicalDisabilityGuidelines-pdf.pdf"	""
""	2015.0	"43609"	"SSD Documentation Deaf/HoH Guidelines"	"Svyantek_VT_SSDDocumentationDeafHoHGuidelines.pdf"	"http://web.archive.org/web/20150915144549/http://www.ssd.vt.edu/assets/docs/Deaf-HHDocGuidelines-pdf.pdf"	""
""	2015.0	"43609"	"SSD Confidentiality Statement"	"Svyantek_VT_SSDConfidentialityStatement_2.pdf"	"https://www.ssd.vt.edu/content/dam/ssd_vt_edu/assets/docs/confidentialitystatement-2015.pdf"	""
""	2015.0	"43609"	"SSD Grievance Policy"	"Svyantek_VT_SSDGrievancePolicy.pdf"	"https://www.ssd.vt.edu/content/dam/ssd_vt_edu/assets/docs/grievanceprocedure-2015.pdf"	""
""	2015.0	"43609"	"SSD Record Request"	"Svyantek_VT_SSDRecordRequest.pdf"	"http://web.archive.org/web/20150905135740/http://www.ssd.vt.edu/request_records.html"	""
""	2015.0	"43609"	"Accommodations Letter Instructions"	"Svyantek_VT_AccommodationsLetterInstructions_2.pdf"	"http://web.archive.org/web/20150907004228/http://www.ssd.vt.edu/accommodations/accommodations_letter_instr/index.html"	""
""	2015.0	"43609"	"Classroom Accommodations"	"Svyantek_VT_ClassroomAccommodations.pdf"	"http://web.archive.org/web/20150906182940/http://www.ssd.vt.edu/accommodations/classroom_accommodations.html"	""
""	2015.0	"43611"	"Staff Handbook"	"Svyantek_VT_StaffHandbook_3.pdf"	"http://web.archive.org/web/20150905161632/http://www.hr.vt.edu/_files/file_hr_emp_handbook.pdf"	""
""	2015.0	"43611"	"ADA Policies and Practices"	"Svyantek_VT_ADAPoliciesAndPractices.pdf"	"http://web.archive.org/web/20150905120229/http://www.hr.vt.edu/oea/ada/pol_pract/index.html"	""
""	2015.0	"N/A"	"IT Policy"	"Svyantek_VT_ITPolicy_2006_3.pdf"	""	""
