id,project_id,keyword
1,1,fertility
2,1,birth control
3,1,parents
4,1,children
5,1,household composition
6,1,"Medicine, Health and Life Sciences"
7,1,Social Sciences
8,2,furniture
9,2,Furniture--China
10,2,customized furniture
11,2,furniture purchase
12,2,demand factors
13,2,China furniture market
14,2,Social Sciences
15,3,HIV care
16,3,extreme weather events
17,3,learning collaborative
18,3,"Medicine, Health and Life Sciences"
19,3,Social Sciences
20,4,geothermal resources
21,4,energy acceptance
22,4,risk communication
23,4,place theory
24,4,sociotechnical systems
25,4,energy
26,4,Social Sciences
27,5,courts
28,5,hate speech
29,5,institutionalism
30,5,interviews
31,5,judicial decision making
32,5,Social Sciences
33,6,Malaria
34,6,Public Health
35,6,Interviews
36,6,"Medicine, Health and Life Sciences"
37,7,Parkinson's disease
38,7,Body-worn sensors
39,7,interviews
40,7,"Medicine, Health and Life Sciences"
41,8,romantic relationship quality
42,8,conceptual analysis
43,8,big team science
44,8,cross-indigenous approach
45,8,large-scale qualitative study
46,8,Social Sciences
47,9,COVID-19
48,9,home schooling
49,9,working mothers
50,9,Social Sciences
51,10,health
52,10,health behavior
53,10,HIV
54,10,AIDS (disease)
55,10,sexually transmitted disease
56,10,sexual behavior
57,10,"Medicine, Health and Life Sciences"
58,11,precarious employment
59,11,employment quality
60,11,fundamental causes
61,11,constrained choices
62,11,policy
63,11,COVID-19
64,11,"Medicine, Health and Life Sciences"
65,11,Social Sciences
66,12,law enforcement
67,12,housing
68,12,poverty programs
69,12,informal economy
70,12,squatters
71,12,squatter settlements
72,12,cities
73,12,local government
74,12,Social Sciences
75,13,abortion
76,13,qualitative research
77,13,cognitive interviews
78,13,interviews
79,13,"Medicine, Health and Life Sciences"
80,13,Social Sciences
81,14,political representation
82,14,politics
83,14,voting
84,14,Social Sciences
85,15,kidney disease
86,15,renal disease
87,15,ESKD
88,15,CKD
89,15,end-stage kidney disease
90,15,chronic kidney disease
91,15,ESRD
92,15,end-stage renal disease
93,15,hospices
94,15,dialysis
95,15,delivery models
96,15,"Medicine, Health and Life Sciences"
97,16,pastoral systems
98,16,livestock systems
99,16,traditional ecological knowledge
100,16,Earth and Environmental Sciences
101,16,Social Sciences
102,17,Parkinson's disease
103,17,advance care planning
