QDRFilename	Provenance	Enterspublicdomainafteryear:
"Leonard_DR_BancoCentral_Statistics_A-I-3-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-8.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-I-3-9.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-II-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-II-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-II-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-II-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-II-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-II-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-II-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-III-1.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-III-2.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-III-3.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-III-4.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-III-5.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-III-6.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-III-7.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IV-1_1996.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IV-1_1997.xlsx"	"Banco Central"	""
"Leonard_DR_BancoCentral_Statistics_A-IV-1_1998.xlsx"	"Banco Central"	""
