level,code,name
GROUP,702,Business and other management consultancy activities
CLASS,7020,Business and other management consultancy activities
DIVISION,71,Architectural and engineering activities; technical testing and analysis
GROUP,711,"Architectural and engineering, and related technical consultancy activities"
CLASS,7110,"Architectural and engineering, and related technical consultancy activities"
GROUP,712,Technical testing and analysis
CLASS,7120,Technical testing and analysis
DIVISION,72,Scientific research and development
GROUP,721,Research and experimental development on natural sciences and engineering
CLASS,7210,Research and experimental development on natural sciences and engineering
GROUP,722,Research and experimental development on social sciences and humanities
CLASS,7220,Research and experimental development on social sciences and humanities
DIVISION,73,"Activities of advertising, market research and public relations"
GROUP,731,Advertising activities
CLASS,7310,Advertising activities
GROUP,732,Market research and public opinion polling activities
CLASS,7320,Market research and public opinion polling activities
GROUP,733,Public relations activities
CLASS,7330,Public relations activities
DIVISION,74,"Other professional, scientific and technical activities"
GROUP,741,Specialized design activities
CLASS,7410,Specialized design activities
GROUP,742,Photographic activities
CLASS,7420,Photographic activities
GROUP,743,Translation and interpretation activities
CLASS,7430,Translation and interpretation activities
GROUP,749,"Other professional, scientific and technical activities n.e.c."
CLASS,7491,Patent brokering and marketing service activities
CLASS,7499,"All other professional, scientific and technical activities n.e.c."
DIVISION,75,Veterinary activities
GROUP,750,Veterinary activities
CLASS,7500,Veterinary activities
SECTION,O,Administrative and support service activities
DIVISION,77,Rental and leasing activities
GROUP,771,Rental and leasing of motor vehicles
CLASS,7710,Rental and leasing of motor vehicles
GROUP,772,Rental and leasing of personal and household goods
CLASS,7721,Rental and leasing of recreational and sports goods
CLASS,7729,Rental and leasing of other personal and household goods
GROUP,773,"Rental and leasing of other machinery, equipment and tangible goods"
CLASS,7730,"Rental and leasing of other machinery, equipment and tangible goods"
GROUP,774,"Leasing of intellectual property and similar products, except copyrighted works"
CLASS,7740,"Leasing of intellectual property and similar products, except copyrighted works"
GROUP,775,Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets
CLASS,7751,"Intermediation service activities for rental and leasing of cars, motorhomes and trailers"
CLASS,7752,Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets
DIVISION,78,Employment activities
GROUP,781,Activities of employment placement agencies
CLASS,7810,Activities of employment placement agencies
GROUP,782,Temporary employment agency activities and other human resource provisions
CLASS,7820,Temporary employment agency activities and other human resource provisions
DIVISION,79,"Travel agency, tour operator, and other travel related activities"
GROUP,791,Travel agency and tour operator activities
CLASS,7911,Travel agency activities
CLASS,7912,Tour operator activities
GROUP,799,Other travel related activities
CLASS,7990,Other travel related activities
DIVISION,80,Investigation and security activities
GROUP,801,Investigation and security activities
CLASS,8011,Investigation and private security activities
CLASS,8019,Security activities n.e.c.
DIVISION,81,Services to buildings and landscape activities
GROUP,811,Combined facilities support activities
CLASS,8110,Combined facilities support activities
GROUP,812,Cleaning activities
CLASS,8121,General cleaning of buildings
CLASS,8129,Other cleaning activities
GROUP,813,Landscape service activities
CLASS,8130,Landscape service activities
DIVISION,82,"Office administrative, office support and other business support activities"
GROUP,821,Office administrative and support activities
CLASS,8210,Office administrative and support activities
GROUP,822,Activities of call centres
CLASS,8220,Activities of call centres
GROUP,823,Organization of conventions and trade shows
CLASS,8230,Organization of conventions and trade shows
GROUP,824,"Intermediation service activities for business support activities n.e.c., except financial intermediation"
CLASS,8240,"Intermediation service activities for business support activities n.e.c., except financial intermediation"
GROUP,829,Business support service activities n.e.c.
CLASS,8291,Activities of collection agencies and credit bureaus
CLASS,8292,Packaging activities
CLASS,8299,Other business support service activities n.e.c.
SECTION,P,Public administration and defence; compulsory social security
DIVISION,84,Public administration and defence; compulsory social security
GROUP,841,"Administration of the State and the economic, social and environmental policies of the community"
CLASS,8411,General public administration activities
CLASS,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security and environment"
CLASS,8413,Regulation of the activities of providing environmental services
CLASS,8414,Regulation of and contribution to more efficient operation of businesses
GROUP,842,Provision of services to the community as a whole
CLASS,8421,Foreign affairs
CLASS,8422,Defence activities
CLASS,8423,Public order and safety activities
GROUP,843,Compulsory social security activities
CLASS,8430,Compulsory social security activities
SECTION,Q,Education
DIVISION,85,Education
GROUP,851,Pre-primary education
CLASS,8510,Pre-primary education
GROUP,852,Primary education
CLASS,8520,Primary education
GROUP,853,Secondary and post-secondary non-tertiary education
CLASS,8531,General secondary education
CLASS,8532,Vocational secondary education
CLASS,8533,Post-secondary non-tertiary education
GROUP,854,Tertiary education
CLASS,8540,Tertiary education
GROUP,855,Other education
CLASS,8551,Sports and recreation education
CLASS,8552,Cultural education
CLASS,8553,Driving school activities
CLASS,8559,Other education n.e.c.
GROUP,856,Educational support activities
CLASS,8561,Intermediation service activities for courses and tutors
CLASS,8569,Other educational support activities
SECTION,R,Human health and social work activities
DIVISION,86,Human health activities
GROUP,861,Hospital activities
CLASS,8610,Hospital activities
GROUP,862,Medical and dental practice activities
CLASS,8620,Medical and dental practice activities
GROUP,869,Other human health activities
CLASS,8691,"Intermediation service activities for medical, dental, and other human health services"
CLASS,8699,Other human health activities n.e.c
DIVISION,87,Residential care activities
GROUP,871,Residential nursing care activities
CLASS,8710,Residential nursing care activities
GROUP,872,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse
CLASS,8720,Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse
GROUP,873,Residential care activities for older persons or persons with physical disabilities
CLASS,8730,Residential care activities for older persons or persons with physical disabilities
GROUP,879,Other residential care activities
CLASS,8791,Intermediation service activities for residential care activities
CLASS,8799,Other residential care activities n.e.c.
DIVISION,88,Social work activities without accommodation
GROUP,881,Social work activities without accommodation for older persons or persons with disabilities
CLASS,8810,Social work activities without accommodation for older persons or persons with disabilities
GROUP,889,Other social work activities without accommodation
CLASS,8890,Other social work activities without accommodation
SECTION,S,"Arts, sports and recreation"
DIVISION,90,Arts creation and performing arts activities
GROUP,901,Arts creation activities
CLASS,9011,Literary creation and musical composition activities
CLASS,9012,Visual arts creation activities
CLASS,9013,Other arts creation activities
GROUP,902,Activities of performing arts
CLASS,9020,Activities of performing arts
GROUP,903,Support activities to arts creation and performing arts
CLASS,9031,Operation of arts facilities and sites
CLASS,9039,Other support activities to arts creation and performing arts
DIVISION,91,"Library, archives, museum and other cultural activities"
GROUP,911,Library and archive activities
CLASS,9111,Library activities
CLASS,9112,Archive activities
GROUP,912,"Museum, collection, historical site and monument activities"
CLASS,9121,Museum and collection activities
CLASS,9122,Historical site and monument activities
GROUP,913,"Conservation, restoration and other support activities for cultural heritage"
CLASS,9130,"Conservation, restoration and other support activities for cultural heritage"
GROUP,914,Botanical and zoological garden and nature reserve activities
CLASS,9141,Botanical and zoological garden activities
CLASS,9142,Nature reserve activities
DIVISION,92,Gambling and betting activities
GROUP,920,Gambling and betting activities
CLASS,9200,Gambling and betting activities
DIVISION,93,Sports activities and amusement and recreation activities
GROUP,931,Sports activities
CLASS,9311,Operation of sports facilities
CLASS,9312,Activities of sports clubs
CLASS,9319,Other sports activities
GROUP,932,Amusement and recreation activities
CLASS,9321,Activities of amusement parks and theme parks
CLASS,9329,Other amusement and recreation activities
SECTION,T,Other service activities
DIVISION,94,Activities of membership organizations
GROUP,941,"Activities of business, employers and professional membership organizations"
CLASS,9411,Activities of business and employers membership organizations
CLASS,9412,Activities of professional membership organizations
GROUP,942,Activities of trade unions
CLASS,9420,Activities of trade unions
GROUP,949,Activities of other membership organizations
CLASS,9491,Activities of religious organizations
CLASS,9492,Activities of political organizations
CLASS,9499,Activities of other membership organizations n.e.c.
DIVISION,95,"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
GROUP,951,Repair and maintenance of computers and communication equipment
CLASS,9510,Repair and maintenance of computers and communication equipment
GROUP,952,Repair and maintenance of personal and household goods
CLASS,9521,Repair and maintenance of consumer electronics
CLASS,9522,Repair and maintenance of household appliances and home and garden equipment
CLASS,9523,Repair and maintenance of footwear and leather goods
CLASS,9524,Repair and maintenance of furniture and home furnishings
CLASS,9529,Repair and maintenance of other personal and household goods
GROUP,953,Repair and maintenance of motor vehicles and motorcycles
CLASS,9531,Repair and maintenance of motor vehicles
CLASS,9532,Repair and maintenance of motorcycles
GROUP,954,"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
CLASS,9540,"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles"
DIVISION,96,Personal service activities
GROUP,961,Washing and cleaning of textile and fur products
CLASS,9610,Washing and cleaning of textile and fur products
GROUP,962,"Hairdressing, beauty treatment, day spa and similar activities"
CLASS,9621,Hairdressing and barber activities
CLASS,9622,Beauty care and other beauty treatment activities
CLASS,9623,"Day spa, sauna and steam bath activities"
GROUP,963,Funeral and related activities
CLASS,9630,Funeral and related activities
GROUP,964,Intermediation service activities for personal services
CLASS,9640,Intermediation service activities for personal services
GROUP,969,Other personal service activities n.e.c.
CLASS,9690,Other personal service activities n.e.c.
SECTION,U,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
DIVISION,97,Activities of households as employers of domestic personnel
GROUP,970,Activities of households as employers of domestic personnel
CLASS,9700,Activities of households as employers of domestic personnel
DIVISION,98,Undifferentiated goods- and services-producing activities of private households for own use
GROUP,981,Undifferentiated goods-producing activities of private households for own use
CLASS,9810,Undifferentiated goods-producing activities of private households for own use
GROUP,982,Undifferentiated service-producing activities of private households for own use
CLASS,9820,Undifferentiated service-producing activities of private households for own use
SECTION,V,Activities of extraterritorial organizations and bodies
DIVISION,99,Activities of extraterritorial organizations and bodies
GROUP,990,Activities of extraterritorial organizations and bodies
CLASS,9900,Activities of extraterritorial organizations and bodies
