level,code,name
GROUP,162,"Manufacture of products of wood, cork, straw and plaiting materials"
CLASS,1621,Manufacture of veneer sheets and wood-based panels
CLASS,1622,Manufacture of builders' carpentry and joinery
CLASS,1623,Manufacture of wooden containers
CLASS,1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
DIVISION,17,Manufacture of paper and paper products
GROUP,170,Manufacture of paper and paper products
CLASS,1701,"Manufacture of pulp, paper and paperboard"
CLASS,1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
CLASS,1709,Manufacture of other articles of paper and paperboard
DIVISION,18,Printing and reproduction of recorded media
GROUP,181,Printing and service activities related to printing
CLASS,1811,Printing
CLASS,1812,Service activities related to printing
GROUP,182,Reproduction of recorded media
CLASS,1820,Reproduction of recorded media
DIVISION,19,Manufacture of coke and refined petroleum products
GROUP,191,Manufacture of coke oven products
CLASS,1910,Manufacture of coke oven products
GROUP,192,Manufacture of refined petroleum products; manufacture of fossil fuel products
CLASS,1920,Manufacture of refined petroleum products; manufacture of fossil fuel products
DIVISION,20,Manufacture of chemicals and chemical products
GROUP,201,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms"
CLASS,2011,Manufacture of basic chemicals
CLASS,2012,Manufacture of fertilizers and nitrogen compounds
CLASS,2013,Manufacture of plastics and synthetic rubber in primary forms
GROUP,202,Manufacture of other chemical products
CLASS,2021,Manufacture of pesticides and other agrochemical products
CLASS,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
CLASS,2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
CLASS,2029,Manufacture of other chemical products n.e.c.
GROUP,203,Manufacture of man-made fibres
CLASS,2030,Manufacture of man-made fibres
DIVISION,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
GROUP,210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
CLASS,2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
DIVISION,22,Manufacture of rubber and plastic products
GROUP,221,Manufacture of rubber products
CLASS,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
CLASS,2219,Manufacture of other rubber products
GROUP,222,Manufacture of plastics products
CLASS,2220,Manufacture of plastics products
DIVISION,23,Manufacture of other non-metallic mineral products
GROUP,231,Manufacture of glass and glass products
CLASS,2310,Manufacture of glass and glass products
GROUP,239,Manufacture of non-metallic mineral products n.e.c.
CLASS,2391,Manufacture of refractory products
CLASS,2392,Manufacture of clay building materials
CLASS,2393,Manufacture of other porcelain and ceramic products
CLASS,2394,"Manufacture of cement, lime and plaster"
CLASS,2395,"Manufacture of articles of concrete, cement and plaster"
CLASS,2396,"Cutting, shaping and finishing of stone"
CLASS,2399,Manufacture of other non-metallic mineral products n.e.c.
DIVISION,24,Manufacture of basic metals
GROUP,241,Manufacture of basic iron and steel
CLASS,2410,Manufacture of basic iron and steel
GROUP,242,Manufacture of basic precious and other non-ferrous metals
CLASS,2420,Manufacture of basic precious and other non-ferrous metals
GROUP,243,Casting of metals
CLASS,2431,Casting of iron and steel
CLASS,2432,Casting of non-ferrous metals
DIVISION,25,"Manufacture of fabricated metal products, except machinery and equipment"
GROUP,251,"Manufacture of structural metal products, tanks, reservoirs and steam generators"
CLASS,2511,Manufacture of structural metal products
CLASS,2512,"Manufacture of tanks, reservoirs and containers of metal"
CLASS,2513,"Manufacture of steam generators, except central heating hot water boilers"
GROUP,252,Manufacture of weapons and ammunition
CLASS,2520,Manufacture of weapons and ammunition
GROUP,259,Manufacture of other fabricated metal products; metalworking service activities
CLASS,2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
CLASS,2592,Treatment and coating of metals; machining
CLASS,2593,"Manufacture of cutlery, hand tools and general hardware"
CLASS,2599,Manufacture of other fabricated metal products n.e.c.
DIVISION,26,"Manufacture of computer, electronic and optical products"
GROUP,261,Manufacture of electronic components and boards
CLASS,2611,"Manufacture of solar cells, solar panels and photovoltaic inverters"
CLASS,2619,Manufacture of other electronic components and boards
GROUP,262,Manufacture of computers and peripheral equipment
CLASS,2620,Manufacture of computers and peripheral equipment
GROUP,263,Manufacture of communication equipment
CLASS,2630,Manufacture of communication equipment
GROUP,264,Manufacture of consumer electronics
CLASS,2640,Manufacture of consumer electronics
GROUP,265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks"
CLASS,2651,"Manufacture of measuring, testing, navigating and control equipment"
CLASS,2652,Manufacture of watches and clocks
GROUP,266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
CLASS,2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
GROUP,267,Manufacture of optical instruments and photographic equipment
CLASS,2670,Manufacture of optical instruments and photographic equipment
GROUP,268,Manufacture of magnetic and optical media
CLASS,2680,Manufacture of magnetic and optical media
DIVISION,27,Manufacture of electrical equipment
GROUP,271,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
CLASS,2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
GROUP,272,Manufacture of batteries and accumulators
CLASS,2720,Manufacture of batteries and accumulators
GROUP,273,Manufacture of wiring and wiring devices
CLASS,2731,Manufacture of fibre optic cables
CLASS,2732,Manufacture of other electronic and electric wires and cables
CLASS,2733,Manufacture of wiring devices
GROUP,274,Manufacture of lighting equipment
CLASS,2740,Manufacture of lighting equipment
GROUP,275,Manufacture of domestic appliances
CLASS,2750,Manufacture of domestic appliances
GROUP,279,Manufacture of other electrical equipment
CLASS,2790,Manufacture of other electrical equipment
DIVISION,28,Manufacture of machinery and equipment n.e.c.
GROUP,281,Manufacture of general-purpose machinery
CLASS,2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
CLASS,2812,Manufacture of fluid power equipment
CLASS,2813,"Manufacture of other pumps, compressors, taps and valves"
CLASS,2814,"Manufacture of bearings, gears, gearing and driving elements"
CLASS,2815,"Manufacture of ovens, furnaces and permanent household heating equipment"
CLASS,2816,Manufacture of lifting and handling equipment
CLASS,2817,Manufacture of office machinery and equipment (except computers and peripheral equipment)
CLASS,2818,Manufacture of power-driven hand tools
CLASS,2819,Manufacture of other general-purpose machinery
GROUP,282,Manufacture of special-purpose machinery
CLASS,2821,Manufacture of agricultural and forestry machinery
CLASS,2822,Manufacture of metal-forming machinery and machine tools
CLASS,2823,Manufacture of machinery for metallurgy
CLASS,2824,"Manufacture of machinery for mining, quarrying and construction"
CLASS,2825,"Manufacture of machinery for food, beverage and tobacco processing"
CLASS,2826,"Manufacture of machinery for textile, apparel and leather production"
CLASS,2829,Manufacture of other special-purpose machinery
DIVISION,29,"Manufacture of motor vehicles, trailers and semi-trailers"
GROUP,291,Manufacture of motor vehicles
CLASS,2910,Manufacture of motor vehicles
GROUP,292,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
CLASS,2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers
GROUP,293,Manufacture of parts and accessories for motor vehicles
CLASS,2930,Manufacture of parts and accessories for motor vehicles
DIVISION,30,Manufacture of other transport equipment
GROUP,301,Building of ships and boats
CLASS,3011,Building of ships and floating structures
CLASS,3012,Building of pleasure and sporting boats
GROUP,302,Manufacture of railway locomotives and rolling stock
CLASS,3020,Manufacture of railway locomotives and rolling stock
GROUP,303,Manufacture of air and spacecraft and related machinery
CLASS,3030,Manufacture of air and spacecraft and related machinery
GROUP,304,Manufacture of military fighting vehicles
CLASS,3040,Manufacture of military fighting vehicles
GROUP,309,Manufacture of transport equipment n.e.c.
CLASS,3091,Manufacture of motorcycles
CLASS,3092,Manufacture of bicycles and invalid carriages
CLASS,3099,Manufacture of other transport equipment n.e.c.
DIVISION,31,Manufacture of furniture
GROUP,310,Manufacture of furniture
CLASS,3101,Manufacture of wooden furniture
CLASS,3102,Manufacture of other furniture
DIVISION,32,Other manufacturing
GROUP,321,"Manufacture of jewellery, bijouterie and related articles"
CLASS,3211,Manufacture of jewellery and related articles
CLASS,3212,Manufacture of imitation jewellery and related articles
GROUP,322,Manufacture of musical instruments
CLASS,3220,Manufacture of musical instruments
GROUP,323,Manufacture of sports goods
CLASS,3230,Manufacture of sports goods
GROUP,324,Manufacture of games and toys
CLASS,3240,Manufacture of games and toys
GROUP,325,Manufacture of medical and dental instruments and supplies
CLASS,3250,Manufacture of medical and dental instruments and supplies
GROUP,329,Other manufacturing n.e.c.
CLASS,3290,Other manufacturing n.e.c.
DIVISION,33,"Repair, maintenance and installation of machinery and equipment"
GROUP,331,"Repair and maintenance of fabricated metal products, machinery and equipment"
CLASS,3311,Repair and maintenance of fabricated metal products
CLASS,3312,Repair and maintenance of machinery
CLASS,3313,Repair and maintenance of electronic and optical equipment
CLASS,3314,Repair and maintenance of electrical equipment
CLASS,3315,"Repair and maintenance of transport equipment, except motor vehicles"
CLASS,3319,Repair and maintenance of other equipment
GROUP,332,Installation of industrial machinery and equipment
CLASS,3320,Installation of industrial machinery and equipment
SECTION,D,"Electricity, gas, steam and air conditioning supply"
DIVISION,35,"Electricity, gas, steam and air conditioning supply"
GROUP,351,"Electric power generation, transmission and distribution activities"
CLASS,3511,Electric power generation activities from non-renewable sources
CLASS,3512,Electric power generation activities from renewable sources
CLASS,3513,Electric power transmission and distribution activities
GROUP,352,Manufacture of gas; distribution of gaseous fuels through mains
CLASS,3520,Manufacture of gas; distribution of gaseous fuels through mains
GROUP,353,Steam and air conditioning supply
CLASS,3530,Steam and air conditioning supply
GROUP,354,Activities of brokers and agents for electric power and natural gas
CLASS,3540,Activities of brokers and agents for electric power and natural gas
SECTION,E,"Water supply; sewerage, waste management and remediation activities"
DIVISION,36,"Water collection, treatment and supply"
GROUP,360,"Water collection, treatment and supply"
CLASS,3600,"Water collection, treatment and supply"
DIVISION,37,Sewerage
GROUP,370,Sewerage
CLASS,3700,Sewerage
DIVISION,38,"Waste collection, treatment and disposal, and recovery activities"
GROUP,381,Waste collection activities
CLASS,3811,Collection of non-hazardous waste
CLASS,3812,Collection of hazardous waste
GROUP,382,Waste treatment and disposal
CLASS,3821,Treatment and disposal of non-hazardous waste
CLASS,3822,Treatment and disposal of hazardous waste
GROUP,383,Materials and other waste recovery
CLASS,3830,Materials and other waste recovery
DIVISION,39,Remediation and other waste management service activities
GROUP,390,Remediation and other waste management service activities
CLASS,3900,Remediation and other waste management service activities
SECTION,F,Construction
DIVISION,41,Construction of residential and non-residential buildings
GROUP,410,Construction of residential and non-residential buildings
CLASS,4100,Construction of residential and non-residential buildings
DIVISION,42,Civil engineering
GROUP,421,Construction of roads and railways
CLASS,4210,Construction of roads and railways
GROUP,422,Construction of utility projects
CLASS,4220,Construction of utility projects
GROUP,429,Construction of other civil engineering projects
CLASS,4290,Construction of other civil engineering projects
DIVISION,43,Specialized construction activities
GROUP,431,Demolition and site preparation
CLASS,4311,Demolition
CLASS,4312,Site preparation
GROUP,432,"Electrical, plumbing and other construction installation activities"
CLASS,4321,Electrical installation
CLASS,4322,"Plumbing, heat and air-conditioning installation"
CLASS,4329,Other construction installation
GROUP,433,Building completion and finishing
CLASS,4330,Building completion and finishing
GROUP,434,Intermediation service activities for specialized construction services
CLASS,4340,Intermediation service activities for specialized construction services
GROUP,439,Other specialized construction activities
CLASS,4390,Other specialized construction activities
SECTION,G,Wholesale and retail trade
DIVISION,46,Wholesale trade
GROUP,461,Wholesale on a fee or contract basis
CLASS,4610,Wholesale on a fee or contract basis
GROUP,462,Wholesale of agricultural raw materials and live animals
CLASS,4620,Wholesale of agricultural raw materials and live animals
GROUP,463,"Wholesale of food, beverages and tobacco"
CLASS,4630,"Wholesale of food, beverages and tobacco"
GROUP,464,Wholesale of household goods
CLASS,4641,"Wholesale of textiles, clothing and footwear"
CLASS,4642,"Wholesale of household, office and shop furniture, carpets and lighting equipment"
CLASS,4649,Wholesale of other household goods
GROUP,465,"Wholesale of machinery, equipment and supplies"
CLASS,4651,"Wholesale of computers, computer peripheral equipment and software"
CLASS,4652,Wholesale of electronic and telecommunications equipment and parts
CLASS,4653,"Wholesale of agricultural machinery, equipment and supplies"
CLASS,4659,Wholesale of other machinery and equipment
GROUP,466,"Wholesale of motor vehicles, motorcycles and related parts and accessories"
CLASS,4661,Wholesale of motor vehicles
CLASS,4662,Wholesale of motor vehicle parts and accessories
CLASS,4663,"Wholesale of motorcycles, motorcycle parts and accessories"
GROUP,467,Other specialized wholesale
CLASS,4671,"Wholesale of solid, liquid and gaseous fuels and related products"
CLASS,4672,Wholesale of metals and metal ores
CLASS,4673,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
CLASS,4679,"Wholesale of chemicals, waste and scrap and other products n.e.c."
GROUP,469,Non-specialized wholesale trade
CLASS,4690,Non-specialized wholesale trade
DIVISION,47,Retail trade
GROUP,471,Non-specialized retail sale
CLASS,4711,"Non-specialized retail sale with food, beverages or tobacco predominating"
CLASS,4719,Other non-specialized retail sale
GROUP,472,"Retail sale of food, beverages and tobacco"
CLASS,4721,Retail sale of food
CLASS,4722,Retail sale of beverages
CLASS,4723,Retail sale of tobacco products
GROUP,473,Retail sale of automotive fuel
CLASS,4730,Retail sale of automotive fuel
GROUP,474,Retail sale of information and communication equipment
CLASS,4740,Retail sale of information and communication equipment
GROUP,475,Retail sale of other household equipment
CLASS,4751,Retail sale of textiles
CLASS,4752,"Retail sale of hardware, building materials, paints and glass"
CLASS,4753,"Retail sale of carpets, rugs, wall and floor coverings"
CLASS,4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles"
GROUP,476,Retail sale of cultural and recreational goods
CLASS,4761,"Retail sale of books, newspapers, stationery and office supplies"
CLASS,4762,Retail sale of sporting equipment
CLASS,4763,Retail sale of games and toys
CLASS,4769,Retail sale of cultural and recreational goods n.e.c.
GROUP,477,"Retail sale of other goods, except motor vehicles and motorcycles"
CLASS,4771,"Retail sale of clothing, footwear and leather articles"
CLASS,4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles"
CLASS,4773,Retail sale of other new goods n.e.c.
CLASS,4774,Retail sale of second-hand goods
GROUP,478,"Retail sale of motor vehicles, motorcycles and related parts and accessories"
CLASS,4781,Retail sale of motor vehicles
CLASS,4782,Retail sale of motor vehicle parts and accessories
CLASS,4783,"Retail sale of motorcycles, motorcycles parts and accessories"
GROUP,479,Intermediation service activities for retail sale
CLASS,4790,Intermediation service activities for retail sale
SECTION,H,Transportation and storage
DIVISION,49,Land transport and transport via pipelines
GROUP,491,Transport via railways
CLASS,4911,"Passenger rail transport, interurban"
CLASS,4912,Freight rail transport
GROUP,492,Other land transport
CLASS,4921,Urban and suburban passenger land transport
CLASS,4922,Other passenger land transport
CLASS,4923,Freight transport by road
GROUP,493,Transport via pipeline
CLASS,4930,Transport via pipeline
DIVISION,50,Water transport
GROUP,501,Sea and coastal water transport
CLASS,5011,Sea and coastal passenger water transport
CLASS,5012,Sea and coastal freight water transport
GROUP,502,Inland water transport
CLASS,5021,Inland passenger water transport
CLASS,5022,Inland freight water transport
DIVISION,51,Air transport
GROUP,511,Passenger air transport
CLASS,5110,Passenger air transport
GROUP,512,Freight air transport
CLASS,5120,Freight air transport
DIVISION,52,Warehousing and support activities for transportation
GROUP,521,Warehousing and storage
CLASS,5210,Warehousing and storage
GROUP,522,Support activities for transportation
CLASS,5221,Service activities incidental to land transportation
CLASS,5222,Service activities incidental to water transportation
CLASS,5223,Service activities incidental to air transportation
CLASS,5224,Cargo handling
CLASS,5229,Other support activities for transportation
GROUP,523,Intermediation service activities for transportation
CLASS,5231,Intermediation service activities for freight transportation
CLASS,5232,Intermediation service activities for passenger transportation
DIVISION,53,Postal and courier activities
GROUP,531,Postal activities
CLASS,5310,Postal activities
GROUP,532,Courier activities
CLASS,5320,Courier activities
GROUP,533,Intermediation service activities for postal and courier activities
CLASS,5330,Intermediation service activities for postal and courier activities
SECTION,I,Accommodation and food service activities
DIVISION,55,Accommodation
GROUP,551,Hotels and similar accommodation activities
CLASS,5510,Hotels and similar accommodation activities
GROUP,552,Other short term accommodation activities
CLASS,5520,Other short term accommodation activities
GROUP,553,"Camping grounds, recreational vehicle parks and trailer parks"
CLASS,5530,"Camping grounds, recreational vehicle parks and trailer parks"
GROUP,554,Intermediation service activities for accommodation
CLASS,5540,Intermediation service activities for accommodation
GROUP,559,Other accommodation n.e.c.
CLASS,5590,Other accommodation n.e.c.
DIVISION,56,Food and beverage service activities
GROUP,561,Restaurants and mobile food service activities
CLASS,5610,Restaurants and mobile food service activities
GROUP,562,Event catering and other food service activities
CLASS,5621,Event catering activities
CLASS,5629,Other food service activities
GROUP,563,Beverage serving activities
CLASS,5630,Beverage serving activities
GROUP,564,Intermediation service activities for food and beverage services activities
CLASS,5640,Intermediation service activities for food and beverage services activities
SECTION,J,"Publishing, broadcasting, and content production and distribution activities"
DIVISION,58,Publishing activities
GROUP,581,"Publishing of books, newspapers, periodicals and other publishing activities"
CLASS,5811,Publishing of books
CLASS,5812,Publishing of newspapers
CLASS,5813,Publishing of journals and periodicals
CLASS,5819,Other publishing activities
GROUP,582,Software publishing
CLASS,5821,Publishing of video games
CLASS,5829,Other software publishing
DIVISION,59,"Motion picture, video and television programme production, sound recording and music publishing activities"
GROUP,591,"Motion picture, video and television programme activities"
CLASS,5911,"Motion picture, video and television programme production activities"
CLASS,5912,"Motion picture, video and television programme post-production activities"
CLASS,5913,"Motion picture, video and television programme distribution activities"
CLASS,5914,Motion picture projection activities
GROUP,592,Sound recording and music publishing activities
CLASS,5920,Sound recording and music publishing activities
DIVISION,60,"Programming, broadcasting, news agency and other content distribution activities"
GROUP,601,Radio broadcasting and audio distribution activities
CLASS,6010,Radio broadcasting and audio distribution activities
GROUP,602,"Television programming, broadcasting and video distribution activities"
CLASS,6020,"Television programming, broadcasting and video distribution activities"
GROUP,603,News agency and other content distribution activities
CLASS,6031,News agency activities
CLASS,6039,Social network sites and other content distribution activities
SECTION,K,"Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities"
DIVISION,61,Telecommunications
GROUP,611,"Wired, wireless, and satellite telecommunication activities"
CLASS,6110,"Wired, wireless, and satellite telecommunication activities"
GROUP,612,Telecommunication reselling activities and intermediation service activities for telecommunication
CLASS,6120,Telecommunication reselling activities and intermediation service activities for telecommunication
GROUP,619,Other telecommunication activities
CLASS,6190,Other telecommunication activities
DIVISION,62,"Computer programming, consultancy and related activities"
GROUP,621,Computer programming activities
CLASS,6211,"Development of video games, video game software, and video game software tools"
CLASS,6219,Other computer programming activities
GROUP,622,Computer consultancy and computer facilities management activities
CLASS,6220,Computer consultancy and computer facilities management activities
GROUP,629,Other information technology and computer service activities
